timestamp,user_identifier,session_id,action_type,action_details,question_id,response,score,scenario_type,message_content,option_selected,page_visited,chatbot_type
2025-09-24T00:53:37.156Z,AVE123,session_1758675212645_awm3bgpgz,code_entered,User entered verification code,,,,,,,home,general-ai
2025-09-24T00:53:37.212Z,AVE123,session_1758675212645_awm3bgpgz,code_verified,Code verification successful,,,,,,,home,general-ai
2025-09-24T00:53:37.266Z,AVE123,session_1758675212645_awm3bgpgz,page_visited,User reached welcome screen,,,,,,,welcome,general-ai
2025-09-24T00:53:37.861Z,AVE123,session_1758675212645_awm3bgpgz,chat_started,User started chat with general AI,,,,,,,welcome,general-ai
2025-09-24T00:53:39.528Z,AVE123,session_1758675212645_awm3bgpgz,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:53:40.759Z,AVE123,session_1758675212645_awm3bgpgz,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:53:40.774Z,AVE123,session_1758675212645_awm3bgpgz,page_visited,User entered AI chatbot page,,,,,,,ai-chatbot,general-ai
2025-09-24T00:53:40.843Z,AVE123,session_1758675212645_awm3bgpgz,questionnaire_started,Questionnaire started,,,,,,,ai-chatbot,general-ai
2025-09-24T00:53:40.913Z,AVE123,session_1758675212645_awm3bgpgz,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes, let's start"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T00:53:40.958Z,AVE123,session_1758675212645_awm3bgpgz,questionnaire_option_selected,Question: intro_question,intro_question,"Yes, let's start",,,,yes,,general-ai
2025-09-24T00:54:12.484Z,AVE123,session_1758675212645_awm3bgpgz,option_selected,"Option selected: {""id"":""yes"",""text"":""Yes"",""value"":""yes""}",,,,,,yes,ai-chatbot,general-ai
2025-09-24T00:54:12.520Z,AVE123,session_1758675212645_awm3bgpgz,questionnaire_option_selected,Question: age_check,age_check,Yes,,,,yes,,general-ai
